transaction_id,customer_id,transaction_date,product_id,quantity,unit_price,payment_method,discount_applied,transaction_status,review_text
TX_0000006386,CUST0772,2025-01-05,PZ-799,21,339000,Cash,34.0,Completed,"Item damaged upon arrival, disappointed"
TX_0000005669,CUST0689,2025-03-31,FB-947,16,247000,Bank Transfer,6.0,Cancelled,
TX_0000006301,CUST0764,2025-03-23,XY-721,13,356000,Credit Card,5.0,Refunded,"Amazing product, highly recommended"
TX_0000002571,CUST0315,2024-11-20,DR-610,37,227000,Bank Transfer,37.0,Completed,A bit overpriced in my opinion
TX_0000007013,CUST0853,2024-12-01,HT-475,20,142000,Cash,35.0,Completed,"Great product, will order again"
TX_0000008085,CUST0983,2024-11-14,UD-120,16,368000,Debit Card,1.0,Completed,
TX_0000006299,CUST0763,2024-11-06,RD-182,11,47000,Debit Card,23.0,Cancelled,"Quality product, attractive packaging"
TX_0000002946,CUST0361,2025-01-28,QX-910,8,332000,Cash,16.0,Completed,
TX_0000000749,CUST0094,2024-11-24,XS-812,23,337000,Credit Card,,Completed,"Item matches picture, very satisfied"
TX_0000002302,CUST0281,2024-11-28,MS-162,3,99000,Cash,47.0,Completed,"Cheap price, decent quality"
TX_0000005040,CUST0860,2025-09-11,HA-620,15,313000,Bank Transfer,39.0,Refunded,
TX_0000005158,CUST0623,2024-10-29,XI-589,38,375000,E-wallet,23.0,Completed,
TX_0000003258,CUST0394,2024-11-20,GJ-675,22,168000,Credit Card,1.0,Cancelled,
TX_0000005744,CUST0627,2025-03-25,KK-442,30,182000,Bank Transfer,31.0,Completed,
TX_0000006320,CUST0766,2025-07-13,TI-999,26,340000,Credit Card,12.0,Completed,Response was slow but item is good
TX_0000001619,CUST0202,2024-07-30,FN-243,4,11000,Credit Card,,Cancelled,
TX_0000003521,CUST0425,2024-12-06,MZ-493,37,152000,Credit Card,1.0,Completed,
TX_0000007667,CUST0933,2024-10-25,AD-353,9,458000,Credit Card,,Completed,
TX_0000001296,CUST0161,2025-08-28,LF-244,23,222000,Cash,43.0,Completed,
TX_0000004016,CUST0482,2024-12-04,XF-771,1,413000,Credit Card,,Completed,
TX_0000006181,CUST0748,2024-10-02,WD-960,34,244000,E-wallet,,Completed,
TX_0000001026,CUST0126,2025-03-27,FT-037,23,273000,Bank Transfer,27.0,Completed,
TX_0000005442,CUST0660,2025-09-10,CB-458,3,408000,Bank Transfer,3.0,Completed,Bit overpriced but quality is okay
TX_0000004247,CUST0514,2024-10-31,FY-405,39,404000,E-wallet,40.0,Completed,
TX_0000004505,CUST0543,2025-03-26,IG-535,2,200000,Cash,29.0,Completed,
TX_0000003483,CUST0421,2025-03-22,XC-063,4,201000,Bank Transfer,32.0,Completed,
TX_0000000458,CUST0060,2024-10-03,XA-186,15,473000,Cash,12.0,Completed,
TX_0000006046,CUST0730,2025-01-23,HZ-277,35,60000,Credit Card,13.0,Pending,
TX_0000003685,CUST0441,2025-07-02,LY-934,18,45000,Bank Transfer,34.0,Completed,Shipping a bit slow but good item
TX_0000000034,CUST0005,2025-09-15,ON-514,15,288000,Debit Card,14.0,Completed,"Honest seller, item as described"
TX_0000001200,CUST0149,2025-01-10,FJ-836,34,214000,Cash,5.0,Cancelled,"Product meets expectations, will buy again"
TX_0000004871,CUST0586,2024-10-06,RI-549,10,197000,Credit Card,39.0,Completed,
TX_0000001616,CUST0202,2024-12-24,ZZ-640,13,291000,E-wallet,19.0,Completed,
TX_0000002089,CUST0256,2025-01-11,VZ-771,8,309000,Cash,18.0,Cancelled,
TX_0000002466,CUST0301,2025-05-17,XR-049,23,185000,Cash,25.0,Cancelled,"Competitive price, decent quality"
TX_0000007285,CUST0884,2025-01-31,TL-645,31,245000,Bank Transfer,5.0,Completed,
TX_0000000223,CUST0029,2025-09-07,PB-033,24,264000,Debit Card,4.0,Completed,
TX_0000000319,CUST0042,2024-11-10,AX-215,11,77000,Credit Card,39.0,Completed,
TX_0000008011,CUST0974,2024-11-30,XB-856,21,186000,E-wallet,25.0,Completed,Standard quality for the price
TX_0000003358,CUST0407,2024-10-17,BG-553,32,446000,Bank Transfer,20.0,Completed,
TX_0000001562,CUST0195,2025-01-16,UO-958,2,10000,Debit Card,6.0,Completed,"Slow shipping, ordinary item"
TX_0000000497,CUST0065,2025-07-19,QM-919,3,216000,Debit Card,43.0,Completed,
TX_0000005170,CUST0624,2024-12-03,UY-889,25,1510000,Bank Transfer,28.0,Cancelled,
TX_0000006160,CUST0744,2024-07-16,ND-641,20,77000,Credit Card,26.0,Completed,"Quality item, packaging OK"
TX_0000007217,CUST0875,2025-03-19,IQ-306,15,87000,Cash,50.0,Completed,
TX_0000006743,CUST0817,2025-03-28,UZ-601,22,202000,Debit Card,10.0,Completed,Poor quality for this price
TX_0000005912,CUST0715,2024-08-22,DM-091,35,441000,E-wallet,49.0,Completed,
TX_0000003498,CUST0423,2025-06-02,VV-057,20,279000,Cash,28.0,Completed,
TX_0000001833,CUST0224,2025-02-24,ZW-049,22,123000,Debit Card,10.0,Completed,A bit disappointing for this price
TX_0000001198,CUST0149,2025-01-26,HK-147,31,55000,Bank Transfer,2.0,Completed,Item arrived in perfect condition
TX_0000001184,CUST0147,2024-10-14,DA-488,28,440000,Cash,9.0,Completed,"Thick bubble wrap packaging, safe"
TX_0000000795,CUST0100,2025-02-24,DH-474,38,479000,Bank Transfer,14.0,Completed,"Item damaged upon arrival, disappointed"
TX_0000005279,CUST0639,2025-01-04,QQ-312,26,234000,E-wallet,18.0,Completed,
TX_0000006786,CUST0823,2024-12-23,EM-335,15,72000,Debit Card,19.0,Completed,
TX_0000003835,CUST0458,2024-11-24,MI-386,24,359000,Bank Transfer,50.0,Completed,
TX_0000002859,CUST0351,2025-09-23,SN-287,11,268000,Bank Transfer,16.0,Completed,Item arrived safely
TX_0000003482,CUST0421,2025-02-18,OM-646,33,372000,Debit Card,32.0,Completed,Slightly disappointed with the finishing
TX_0000002058,CUST0253,2024-12-17,UK-545,15,393000,Debit Card,12.0,Completed,"Great product, will order again"
TX_0000001791,CUST0220,2024-11-27,YT-438,29,428000,Bank Transfer,34.0,Cancelled,Bit overpriced but quality is okay
TX_0000007834,CUST0952,2024-11-05,LE-383,31,243000,Bank Transfer,29.0,Completed,Original and quality item
TX_0000006553,CUST0793,2024-11-23,QQ-326,40,436000,Credit Card,49.0,Completed,
TX_0000003316,CUST0402,2024-08-15,FO-624,23,315000,Credit Card,2.0,Completed,"Competitive price, decent quality"
TX_0000001145,CUST0140,2025-09-05,OR-823,11,351000,Credit Card,40.0,Completed,Product doesn't match picture
TX_0000003804,CUST0455,2025-06-17,BR-316,3,429000,E-wallet,45.0,Completed,
TX_0000005191,CUST0626,2024-11-05,VN-076,31,162000,Bank Transfer,41.0,Refunded,Shipping delayed but item is good
TX_0000005868,CUST0708,2024-05-31,XB-422,18,442000,Debit Card,29.0,Completed,Expensive price but worth it
TX_0000006041,CUST0730,2024-10-16,NO-652,36,441000,Cash,33.0,Completed,"Honest seller, item as described"
TX_0000003461,CUST0417,2025-02-17,BA-027,20,496000,Debit Card,20.0,Completed,
TX_0000001503,CUST0189,2024-12-22,MF-865,10,201000,Cash,41.0,Completed,
TX_0000007605,CUST0924,2025-08-18,OJ-759,15,296000,Credit Card,11.0,Completed,Disappointed with item quality
TX_0000006989,CUST0850,2025-03-04,YX-584,17,23000,Credit Card,11.0,Completed,
TX_0000004439,CUST0537,2025-07-31,UY-878,23,200,Credit Card,38.0,Completed,
TX_0000006505,CUST0786,2024-11-30,LH-194,25,308000,E-wallet,49.0,Pending,
TX_0000003134,CUST0382,2024-12-29,HZ-495,15,97000,Bank Transfer,19.0,Completed,
TX_0000004783,CUST0576,2025-02-08,CT-819,38,397000,Credit Card,20.0,Completed,
TX_0000006108,CUST0737,2024-10-06,QG-577,6,316000,Bank Transfer,16.0,Completed,
TX_0000002707,CUST0328,2024-10-10,RE-297,4,153000,Credit Card,24.0,Completed,
TX_0000004862,CUST0585,2025-03-13,WB-513,16,70000,Bank Transfer,28.0,Completed,Expensive price but worth it
TX_0000006959,CUST0845,2025-02-25,NK-337,34,166000,Bank Transfer,29.0,Refunded,"Product not original, very disappointed"
TX_0000001732,CUST0213,2024-10-25,VA-673,16,153000,Cash,34.0,Completed,Disappointed with item quality
TX_0000001895,CUST0231,2025-01-07,LJ-791,18,150000,Cash,34.0,Completed,
TX_0000001545,CUST0194,2025-01-02,PJ-608,19,220000,Cash,50.0,Completed,
TX_0000001340,CUST0166,2025-03-04,PO-206,6,136000,Cash,,Completed,"Standard quality, reasonable price"
TX_0000004707,CUST0565,2025-06-10,WV-749,15,438000,Debit Card,,Completed,
TX_0000003114,CUST0381,2025-08-15,GQ-645,20,109000,Credit Card,24.0,Completed,
TX_0000002836,CUST0347,2025-03-15,GW-293,19,431000,E-wallet,,Completed,
TX_0000000648,CUST0080,2025-04-26,DO-699,23,446000,Credit Card,41.0,Completed,
TX_0000004463,CUST0540,2024-02-20,JL-629,39,185000,Debit Card,,Completed,
TX_0000002684,CUST0326,2025-02-21,GM-091,27,184000,E-wallet,4.0,Completed,
TX_0000005741,CUST0627,2024-11-25,UQ-795,29,135000,Bank Transfer,32.0,Completed,
TX_0000004679,CUST0561,2025-01-21,EQ-855,11,47000,Cash,41.0,Completed,
TX_0000006651,CUST0804,2025-02-22,BU-577,21,342000,Cash,11.0,Completed,
TX_0000004095,CUST0495,2024-10-05,QC-607,21,379000,E-wallet,1.0,Completed,"High quality product, recommended"
TX_0000001054,CUST0128,2024-11-02,PP-625,38,495000,Debit Card,,Cancelled,Quality below expectations
TX_0000007172,CUST0871,2025-07-20,CT-948,23,443000,E-wallet,13.0,Completed,
TX_0000006983,CUST0850,2025-03-14,LE-484,4,156000,Cash,10.0,Completed,
TX_0000007507,CUST0909,2025-08-20,ZU-868,10,237000,E-wallet,49.0,Completed,"Product meets expectations, great"
TX_0000006476,CUST0783,2024-12-23,IU-360,28,342000,Debit Card,9.0,Completed,"Good item, express shipping"
TX_0000004367,CUST0527,2024-12-18,FD-649,10,377000,E-wallet,14.0,Completed,High quality product
TX_0000002226,CUST0270,2025-08-27,DP-560,28,209000,Cash,34.0,Completed,
TX_0000000094,CUST0012,2025-03-09,QU-202,34,481000,Cash,15.0,Completed,
TX_0000001883,CUST0230,2025-07-17,NA-834,39,430000,Credit Card,5.0,Completed,
TX_0000000473,CUST0062,2025-01-07,PJ-130,33,185000,Cash,21.0,Completed,
TX_0000007447,CUST0902,2025-01-15,DD-341,15,491000,Cash,4.0,Completed,Shipping delayed but item is good
TX_0000003729,CUST0447,2025-05-23,ED-933,12,248000,Debit Card,31.0,Refunded,"Amazing product, exceeds expectations"
TX_0000000102,CUST0013,2025-06-13,ON-742,23,393000,Credit Card,7.0,Completed,Doesn't meet expectations
TX_0000003207,CUST0388,2025-03-23,ZW-906,15,146000,Cash,44.0,Pending,
TX_0000001920,CUST0234,2024-12-30,FO-981,34,388000,E-wallet,29.0,Completed,Very satisfied with this purchase
TX_0000001245,CUST0155,2024-11-16,CR-269,18,128000,E-wallet,30.0,Completed,
TX_0000004654,CUST0559,2025-08-27,NZ-089,24,342000,Cash,9.0,Completed,
TX_0000001439,CUST0182,2025-08-16,GB-676,23,117000,E-wallet,36.0,Completed,"Quality product, satisfying service"
TX_0000001747,CUST0215,2024-11-13,WG-900,38,310000,Debit Card,7.0,Completed,
TX_0000005710,CUST0693,2024-10-28,ER-668,14,131000,Credit Card,7.0,Completed,
TX_0000000909,CUST0114,2025-09-12,YH-828,40,278000,Bank Transfer,27.0,Completed,
TX_0000006467,CUST0782,2025-02-01,RD-268,23,128000,Debit Card,43.0,Completed,
TX_0000002555,CUST0313,2025-03-05,CW-040,4,306000,Credit Card,35.0,Refunded,"Standard quality, reasonable price"
TX_0000001993,CUST0242,2025-01-04,YK-029,16,376000,Credit Card,46.0,Completed,Shipping delayed but item is good
TX_0000003044,CUST0372,2025-02-28,LJ-349,8,188000,Cash,39.0,Refunded,
TX_0000000240,CUST0031,2025-06-03,IB-284,3,268000,Bank Transfer,,Completed,Good product for this price range
TX_0000006446,CUST0780,2025-03-27,QR-469,1,96000,E-wallet,22.0,Completed,"Safe packaging, not damaged"
TX_0000004517,CUST0545,2024-12-28,JK-258,34,235000,Cash,24.0,Completed,
TX_0000006785,CUST0823,2024-12-15,HF-675,17,240000,Credit Card,0.0,Completed,
TX_0000002945,CUST0361,2025-01-30,CJ-435,2,317000,Debit Card,11.0,Pending,
TX_0000004539,CUST0547,2024-11-06,MK-613,35,398000,Cash,32.0,Pending,Bit overpriced but quality is okay
TX_0000002182,CUST0267,2025-08-13,KG-846,19,474000,Bank Transfer,2.0,Completed,Price matches quality
TX_0000002493,CUST0306,2024-12-05,TO-791,17,488000,Debit Card,26.0,Completed,"Product meets expectations, great"
TX_0000006354,CUST0769,2025-08-04,HY-526,27,404000,Cash,36.0,Completed,
TX_0000006593,CUST0797,2025-06-03,CP-108,34,412000,Bank Transfer,34.0,Completed,"Item as ordered, safe packaging"
TX_0000006384,CUST0772,2024-05-15,OF-237,18,250000,Debit Card,38.0,Completed,
TX_0000004906,CUST0590,2025-04-13,IR-152,1,327000,Bank Transfer,31.0,Completed,"High quality product, recommended"
TX_0000003407,CUST0412,2025-03-14,SQ-521,9,348000,Credit Card,10.0,Completed,
TX_0000001859,CUST0228,2025-03-15,UZ-084,26,377000,Debit Card,38.0,Completed,
TX_0000007107,CUST0861,2024-10-19,EW-049,31,96000,Cash,26.0,Completed,"Slow shipping, ordinary item"
TX_0000004355,CUST0524,2025-03-31,PP-551,20,389000,Cash,32.0,Completed,
TX_0000007199,CUST0873,2024-11-27,AN-099,19,176000,E-wallet,5.0,Completed,Bit disappointing from the photo
TX_0000002178,CUST0267,2024-12-22,ER-246,32,415000,Bank Transfer,40.0,Completed,
TX_0000000350,CUST0047,2024-10-30,TL-132,16,365000,Debit Card,37.0,Completed,
TX_0000003249,CUST0394,2025-03-31,XI-555,11,153000,E-wallet,50.0,Completed,"Premium quality, very satisfied"
TX_0000000555,CUST0679,2025-09-20,AS-010,12,117000,Credit Card,36.0,Completed,Good product for this price range
TX_0000007663,CUST0932,2025-02-25,FP-079,2,148000,Cash,49.0,Refunded,
TX_0000006613,CUST0800,2025-02-27,GB-299,3,396000,Cash,11.0,Completed,
TX_0000007926,CUST0963,2025-01-20,XQ-900,25,284000,Bank Transfer,14.0,Completed,
TX_0000007525,CUST0910,2025-03-17,DX-831,36,397000,Credit Card,42.0,Cancelled,
TX_0000004075,CUST0493,2025-02-19,VV-966,32,349000,Debit Card,4.0,Completed,
TX_0000000829,CUST0104,2025-09-22,DR-352,28,303000,Credit Card,31.0,Completed,Product matches description
TX_0000000587,CUST0073,2024-12-12,WB-900,28,219000,E-wallet,22.0,Completed,
TX_0000006312,CUST0765,2025-04-03,EM-597,24,428000,Cash,8.0,Completed,"Item arrived quickly, good condition"
TX_0000002955,CUST0362,2025-06-16,NV-029,17,251000,E-wallet,7.0,Completed,
TX_0000006682,CUST0808,2025-09-09,WA-576,36,429000,E-wallet,11.0,Completed,
TX_0000004104,CUST0496,2024-12-11,ZV-714,32,120000,Credit Card,11.0,Completed,
TX_0000002320,CUST0284,2025-09-02,RK-547,25,248000,E-wallet,26.0,Completed,Product doesn't match picture
TX_0000007792,CUST0948,2024-11-16,AO-808,22,469000,Cash,3.0,Completed,"Fast shipping, neat packaging"
TX_0000004801,CUST0578,2025-09-14,IP-119,19,8000,Cash,5.0,Completed,"Good product, meets expectations"
TX_0000000430,CUST0057,2025-02-18,VE-163,39,308000,E-wallet,10.0,Completed,
TX_0000004713,CUST0567,2024-11-08,DW-006,15,278000,Bank Transfer,30.0,Completed,
TX_0000004587,CUST0552,2024-09-25,SC-461,17,289000,E-wallet,20.0,Completed,"Thank you, very recommended"
TX_0000001702,CUST0210,2024-02-07,AV-119,22,362000,Credit Card,50.0,Completed,
TX_0000005013,CUST0606,2025-02-18,KD-686,38,495000,Credit Card,18.0,Completed,
TX_0000000857,CUST0107,2024-12-29,IB-001,20,251000,Bank Transfer,21.0,Completed,"Quality item, packaging OK"
TX_0000002914,CUST0358,2025-01-18,QY-328,29,204000,Bank Transfer,5.0,Completed,
TX_0000006488,CUST0784,2025-09-22,XE-932,4,132000,Debit Card,48.0,Refunded,Shipping delayed but item is good
TX_0000008189,CUST0998,2025-01-07,YL-079,39,176000,Bank Transfer,44.0,Completed,Slightly disappointed with the finishing
TX_0000002717,CUST0329,2024-10-25,FJ-691,11,115000,Debit Card,23.0,Completed,"Responsive seller, good problem solving"
TX_0000006697,CUST0811,2025-08-12,JM-846,27,232000,Credit Card,13.0,Completed,
TX_0000007539,CUST0912,2025-03-09,VR-744,13,288000,Debit Card,29.0,Completed,
TX_0000003996,CUST0478,2025-09-12,VS-578,16,336000,Bank Transfer,40.0,Completed,
TX_0000001980,CUST0241,2024-12-08,ZP-750,3,411000,Credit Card,10.0,Cancelled,
TX_0000003308,CUST0400,2025-05-27,SY-492,25,416000,Credit Card,50.0,Completed,
TX_0000007089,CUST0860,2025-08-09,TS-350,39,238000,E-wallet,46.0,Completed,Fast response from seller
TX_0000008140,CUST0991,2025-09-14,RV-338,36,479000,Bank Transfer,8.0,Completed,"Item matches picture, very satisfied"
TX_0000001617,CUST0202,2024-12-24,PA-520,11,246000,Bank Transfer,35.0,Completed,5 stars for this product
TX_0000003667,CUST0438,2024-12-14,PO-201,17,402000,Bank Transfer,,Cancelled,
TX_0000005913,CUST0715,2025-03-21,FD-968,8,457000,Cash,10.0,Cancelled,
TX_0000006062,CUST0733,2025-07-30,EW-075,13,406000,E-wallet,23.0,Completed,"Thank you, very recommended"
TX_0000008096,CUST0984,2025-01-12,EU-352,13,1600,Bank Transfer,12.0,Completed,
TX_0000006764,CUST0821,2024-11-21,PO-767,24,255000,Bank Transfer,15.0,Completed,"Professional seller, highly recommended"
TX_0000003173,CUST0386,2025-01-07,TE-631,25,139000,Cash,42.0,Completed,Size doesn't match expectations
TX_0000003132,CUST0382,2025-08-16,PJ-822,3,472000,Credit Card,47.0,Completed,
TX_0000007305,CUST0886,2025-02-02,SA-405,29,446000,Credit Card,35.0,Completed,"Premium quality product, excellent"
TX_0000001079,CUST0133,2024-11-16,KD-071,18,336000,Bank Transfer,47.0,Completed,"Premium quality, very satisfied"
TX_0000000454,CUST0060,2024-12-19,GS-332,22,469000,E-wallet,9.0,Refunded,
TX_0000004369,CUST0527,2024-10-12,FX-697,25,110000,Credit Card,21.0,Completed,Poor quality for this price
TX_0000006021,CUST0728,2025-01-23,HY-883,32,253000,E-wallet,3.0,Completed,
TX_0000005470,CUST0663,2024-11-27,MQ-095,34,319000,Debit Card,41.0,Completed,
TX_0000007710,CUST0937,2025-03-21,EL-062,21,42000,Debit Card,41.0,Completed,
TX_0000001418,CUST0179,2024-11-13,DR-330,19,255000,Debit Card,6.0,Completed,"Good item, express shipping"
TX_0000007248,CUST0879,2024-08-12,SY-905,9,309000,Credit Card,18.0,Completed,
TX_0000007586,CUST0922,2024-11-15,AL-175,6,483000,Bank Transfer,24.0,Completed,
TX_0000006670,CUST0807,2024-10-09,SV-951,1,407000,Bank Transfer,31.0,Completed,"Professional seller, highly recommended"
TX_0000007498,CUST0908,2025-05-19,JW-590,21,358000,E-wallet,20.0,Completed,"Honest seller, item as described"
TX_0000005666,CUST0688,2025-03-16,AD-557,25,18000,Credit Card,29.0,Refunded,
TX_0000000995,CUST0123,2024-11-20,YL-566,15,189000,Bank Transfer,24.0,Completed,
TX_0000004308,CUST0520,2025-03-25,SY-483,25,291000,Credit Card,9.0,Cancelled,"Product not original, very disappointed"
TX_0000008080,CUST0983,2025-03-21,OH-091,22,257000,Cash,,Completed,
TX_0000003909,CUST0466,2025-04-28,WR-893,23,13000,E-wallet,34.0,Completed,
TX_0000001128,CUST0139,2024-10-11,BA-833,38,227000,Credit Card,13.0,Completed,"Item damaged upon arrival, disappointed"
TX_0000005628,CUST0683,2025-02-08,CN-961,40,500000,Bank Transfer,28.0,Completed,
TX_0000007336,CUST0889,2024-11-18,EA-547,22,230000,Debit Card,29.0,Completed,
TX_0000003261,CUST0395,2025-03-07,DG-885,7,237000,Debit Card,0.0,Completed,
TX_0000001851,CUST0227,2024-11-10,KP-849,20,252000,Debit Card,,Completed,
TX_0000006558,CUST0793,2025-01-12,DS-426,40,146000,Cash,47.0,Completed,
TX_0000000066,CUST0010,2025-06-29,EA-400,20,461000,E-wallet,33.0,Cancelled,"Thank you, very recommended"
TX_0000007930,CUST0964,2024-09-22,GZ-319,36,329000,Credit Card,13.0,Completed,Recommended seller
TX_0000004595,CUST0553,2025-05-31,YR-175,38,435000,Bank Transfer,42.0,Pending,"Competitive price, decent quality"
TX_0000004711,CUST0567,2024-12-13,AY-594,32,161000,Bank Transfer,46.0,Completed,"Item arrived quickly, good condition"
TX_0000002996,CUST0367,2025-09-20,PP-062,36,420000,Bank Transfer,2.0,Completed,
TX_0000006037,CUST0729,2025-02-05,QP-117,7,181000,Bank Transfer,45.0,Completed,
TX_0000005690,CUST0690,2024-06-26,PQ-419,1,350000,Credit Card,2.0,Completed,
TX_0000006931,CUST0843,2025-02-17,WA-115,23,146000,E-wallet,44.0,Pending,
TX_0000008190,CUST0998,2025-02-12,ZE-071,4,108000,E-wallet,15.0,Completed,
TX_0000007606,CUST0924,2025-07-04,OM-781,15,140000,E-wallet,29.0,Completed,
TX_0000000316,CUST0042,2025-01-04,AP-308,24,103000,Credit Card,15.0,Completed,A bit overpriced in my opinion
TX_0000004773,CUST0574,2025-08-11,QA-236,23,300000,Debit Card,8.0,Completed,"Slow shipping, ordinary item"
TX_0000002070,CUST0254,2025-01-22,KS-552,33,352000,Credit Card,44.0,Completed,
